%%% Speed, Mode, Body, Rotation centre, Axis of rotation
0.00000000e+00  6  lf-wheel 3.52250000e-01 + 5.60083000e+00i, 6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -7.29600000e-02 + -9.97330000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  6  rf-wheel 3.52250000e-01 + 5.60083000e+00i, -6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -7.29600000e-02 + -9.97330000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  6  lr-wheel 7.42806800e+01 + 2.28729100e+02i, 5.99990000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 3.11740000e-01 + -9.50170000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  6  rr-wheel 7.42806800e+01 + 2.28729100e+02i, -6.00010000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 3.11740000e-01 + -9.50170000e-01i, 0.00000000e+00 + 0.00000000e+00i, 

0.00000000e+00  7  f-axle 7.54040000e-01 + -1.10000000e-04i, -0.00000000e+00 + 0.00000000e+00i, -1.80900000e-02 + -2.90000000e-04i, 9.97730000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -6.72600000e-02 + 7.60000000e-04i, 
0.00000000e+00  7  lf-axle 7.02540000e-01 + 5.30000000e-04i, 1.28970000e-01 + 8.10000000e-04i, 4.33600000e-02 + 6.00000000e-05i, 8.95150000e-01 + 0.00000000e+00i, 6.74400000e-02 + 9.90000000e-04i, -4.40610000e-01 + -4.96000000e-03i, 
0.00000000e+00  7  rf-axle 7.02540000e-01 + 5.30000000e-04i, -1.28970000e-01 + -8.10000000e-04i, 4.33600000e-02 + 6.00000000e-05i, 8.95150000e-01 + 0.00000000e+00i, -6.74400000e-02 + -9.90000000e-04i, -4.40610000e-01 + -4.96000000e-03i, 
0.00000000e+00  7  r-axle-t -1.35558000e+00 + -5.14700000e-02i, 0.00000000e+00 + 0.00000000e+00i, 3.02390000e-01 + -7.97700000e-02i, -5.48500000e-02 + 1.28310000e-01i, 0.00000000e+00 + 0.00000000e+00i, 9.90220000e-01 + 0.00000000e+00i, 
0.00000000e+00  7  r-axle-b -9.94300000e-01 + -2.01400000e-02i, -0.00000000e+00 + 0.00000000e+00i, 1.18340000e-01 + -3.12200000e-02i, -5.48500000e-02 + 1.28310000e-01i, 0.00000000e+00 + 0.00000000e+00i, 9.90220000e-01 + 0.00000000e+00i, 
0.00000000e+00  7  lr-axle -8.57290000e-01 + -8.26000000e-03i, 4.15430000e-01 + 3.08100000e-02i, 5.17300000e-02 + 0.00000000e+00i, 8.79620000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -4.73900000e-01 + 4.10900000e-02i, 
0.00000000e+00  7  rr-axle -8.57290000e-01 + -8.26000000e-03i, -4.15430000e-01 + -3.08100000e-02i, 5.17300000e-02 + 0.00000000e+00i, 8.79620000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -4.73900000e-01 + 4.10900000e-02i, 
0.00000000e+00  7  chassis -4.59170000e-01 + 1.53200000e-02i, 0.00000000e+00 + 0.00000000e+00i, 6.88940000e-01 + -1.32050000e-01i, 6.37910000e-01 + 1.93120000e-01i, 0.00000000e+00 + 0.00000000e+00i, 7.45500000e-01 + 0.00000000e+00i, 
0.00000000e+00  7  lf-wheel 7.85980000e-01 + 1.13000000e-03i, 1.51040000e-01 + 7.70000000e-04i, 4.23300000e-02 + 0.00000000e+00i, 8.74140000e-01 + 0.00000000e+00i, 2.25210000e-01 + -5.80000000e-04i, -4.30270000e-01 + -4.84000000e-03i, 
0.00000000e+00  7  rf-wheel 7.85980000e-01 + 1.13000000e-03i, -1.51040000e-01 + -7.70000000e-04i, 4.23300000e-02 + 0.00000000e+00i, 8.74140000e-01 + 0.00000000e+00i, -2.25210000e-01 + 5.80000000e-04i, -4.30270000e-01 + -4.84000000e-03i, 
0.00000000e+00  7  lr-wheel -7.70790000e-01 + -1.79200000e-02i, 5.27870000e-01 + 1.20400000e-02i, 2.02200000e-02 + 0.00000000e+00i, 5.47840000e-01 + 4.75100000e-02i, 7.80500000e-01 + 0.00000000e+00i, -2.97370000e-01 + 0.00000000e+00i, 
0.00000000e+00  7  rr-wheel -7.70790000e-01 + -1.79200000e-02i, -5.27870000e-01 + -1.20400000e-02i, 2.02200000e-02 + 0.00000000e+00i, -5.47840000e-01 + -4.75100000e-02i, 7.80500000e-01 + 0.00000000e+00i, 2.97370000e-01 + 0.00000000e+00i, 

0.00000000e+00  8  f-axle 7.54040000e-01 + 1.10000000e-04i, -0.00000000e+00 + 0.00000000e+00i, -1.80900000e-02 + 2.90000000e-04i, 9.97730000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -6.72600000e-02 + -7.60000000e-04i, 
0.00000000e+00  8  lf-axle 7.02540000e-01 + -5.30000000e-04i, 1.28970000e-01 + -8.10000000e-04i, 4.33600000e-02 + -6.00000000e-05i, 8.95150000e-01 + 0.00000000e+00i, 6.74400000e-02 + -9.90000000e-04i, -4.40610000e-01 + 4.96000000e-03i, 
0.00000000e+00  8  rf-axle 7.02540000e-01 + -5.30000000e-04i, -1.28970000e-01 + 8.10000000e-04i, 4.33600000e-02 + -6.00000000e-05i, 8.95150000e-01 + 0.00000000e+00i, -6.74400000e-02 + 9.90000000e-04i, -4.40610000e-01 + 4.96000000e-03i, 
0.00000000e+00  8  r-axle-t -1.35558000e+00 + 5.14700000e-02i, 0.00000000e+00 + 0.00000000e+00i, 3.02390000e-01 + 7.97700000e-02i, -5.48500000e-02 + -1.28310000e-01i, 0.00000000e+00 + 0.00000000e+00i, 9.90220000e-01 + 0.00000000e+00i, 
0.00000000e+00  8  r-axle-b -9.94300000e-01 + 2.01400000e-02i, -0.00000000e+00 + 0.00000000e+00i, 1.18340000e-01 + 3.12200000e-02i, -5.48500000e-02 + -1.28310000e-01i, 0.00000000e+00 + 0.00000000e+00i, 9.90220000e-01 + 0.00000000e+00i, 
0.00000000e+00  8  lr-axle -8.57290000e-01 + 8.26000000e-03i, 4.15430000e-01 + -3.08100000e-02i, 5.17300000e-02 + 0.00000000e+00i, 8.79620000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -4.73900000e-01 + -4.10900000e-02i, 
0.00000000e+00  8  rr-axle -8.57290000e-01 + 8.26000000e-03i, -4.15430000e-01 + 3.08100000e-02i, 5.17300000e-02 + 0.00000000e+00i, 8.79620000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -4.73900000e-01 + -4.10900000e-02i, 
0.00000000e+00  8  chassis -4.59170000e-01 + -1.53200000e-02i, 0.00000000e+00 + 0.00000000e+00i, 6.88940000e-01 + 1.32050000e-01i, 6.37910000e-01 + -1.93120000e-01i, 0.00000000e+00 + 0.00000000e+00i, 7.45500000e-01 + 0.00000000e+00i, 
