%%% Speed, Mode, Body, Rotation centre, Axis of rotation
0.00000000e+00  16  r-axle-b -2.54300000e-02 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 8.79140000e-01 + 0.00000000e+00i, 7.13720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -7.00430000e-01 + 0.00000000e+00i, 
0.00000000e+00  16  lr-axle -7.42560000e-01 + 0.00000000e+00i, 5.93650000e-01 + 0.00000000e+00i, 1.67000000e-03 + 0.00000000e+00i, -9.96350000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -8.53400000e-02 + 0.00000000e+00i, 
0.00000000e+00  16  rr-axle -7.42560000e-01 + 0.00000000e+00i, -5.93650000e-01 + 0.00000000e+00i, 1.67000000e-03 + 0.00000000e+00i, -9.96350000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -8.53400000e-02 + 0.00000000e+00i, 
0.00000000e+00  16  chassis 5.69350000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 5.51260000e-01 + 0.00000000e+00i, 4.03730000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -9.14880000e-01 + 0.00000000e+00i, 
0.00000000e+00  16  lf-wheel 7.64270000e-01 + 0.00000000e+00i, 5.34700000e-01 + 0.00000000e+00i, 2.05000000e-02 + 0.00000000e+00i, -8.23000000e-03 + 0.00000000e+00i, 9.54070000e-01 + 0.00000000e+00i, -2.99460000e-01 + 0.00000000e+00i, 
0.00000000e+00  16  rf-wheel 7.64270000e-01 + 0.00000000e+00i, -5.34700000e-01 + 0.00000000e+00i, 2.05000000e-02 + 0.00000000e+00i, -8.23000000e-03 + 0.00000000e+00i, -9.54070000e-01 + 0.00000000e+00i, -2.99460000e-01 + 0.00000000e+00i, 
0.00000000e+00  16  lr-wheel -7.43910000e-01 + 0.00000000e+00i, 5.93950000e-01 + 0.00000000e+00i, 1.59000000e-03 + 0.00000000e+00i, -9.72260000e-01 + 0.00000000e+00i, 2.18580000e-01 + 0.00000000e+00i, -8.32800000e-02 + 0.00000000e+00i, 
0.00000000e+00  16  rr-wheel -7.43910000e-01 + 0.00000000e+00i, -5.93950000e-01 + 0.00000000e+00i, 1.59000000e-03 + 0.00000000e+00i, -9.72260000e-01 + 0.00000000e+00i, -2.18580000e-01 + 0.00000000e+00i, -8.32800000e-02 + 0.00000000e+00i, 

0.00000000e+00  17  f-axle 7.70960000e-01 + 0.00000000e+00i, 1.67175254e+10 + -2.48554620e+04i, -7.60163451e+08 + -2.09561155e+03i, -9.25000000e-03 + 0.00000000e+00i, 4.54200000e-02 + 0.00000000e+00i, 9.98910000e-01 + 0.00000000e+00i, 
0.00000000e+00  17  lf-axle 7.71380000e-01 + 0.00000000e+00i, 2.18991982e+10 + -2.01753340e+04i, -2.58129091e+09 + 3.95137960e+02i, 4.48000000e-02 + 0.00000000e+00i, 1.16940000e-01 + 0.00000000e+00i, 9.92110000e-01 + 0.00000000e+00i, 
0.00000000e+00  17  rf-axle 7.72340000e-01 + 0.00000000e+00i, 2.22051351e+10 + -2.04588253e+04i, -6.44108076e+07 + -7.79956481e+03i, 4.51600000e-02 + 0.00000000e+00i, 2.90000000e-03 + 0.00000000e+00i, 9.98950000e-01 + 0.00000000e+00i, 
0.00000000e+00  17  r-axle-t 1.12900000e+00 + 0.00000000e+00i, 8.24421214e+09 + -1.22568844e+04i, -3.74010375e+08 + -1.03498000e+03i, -7.11960000e-01 + 0.00000000e+00i, 3.18200000e-02 + 0.00000000e+00i, 7.01480000e-01 + 0.00000000e+00i, 
0.00000000e+00  17  r-axle-b -2.19200000e-02 + 0.00000000e+00i, 8.24434747e+09 + -1.22582407e+04i, -3.74090024e+08 + -1.03323585e+03i, -7.11970000e-01 + 0.00000000e+00i, 3.18300000e-02 + 0.00000000e+00i, 7.01480000e-01 + 0.00000000e+00i, 
0.00000000e+00  17  lr-axle -7.42780000e-01 + 0.00000000e+00i, 1.21612548e+08 + -1.80804390e+02i, -5.51574289e+06 + -1.52333600e+01i, 9.96360000e-01 + 0.00000000e+00i, 3.86000000e-03 + 0.00000000e+00i, 8.52000000e-02 + 0.00000000e+00i, 
0.00000000e+00  17  rr-axle -7.42410000e-01 + 0.00000000e+00i, 1.21613760e+08 + -1.80803850e+02i, -5.51702366e+06 + -1.52363800e+01i, 9.96360000e-01 + 0.00000000e+00i, 3.87000000e-03 + 0.00000000e+00i, 8.52000000e-02 + 0.00000000e+00i, 
0.00000000e+00  17  chassis 4.94090000e-01 + 0.00000000e+00i, 1.26125622e+10 + -1.87506867e+04i, -5.73922942e+08 + -1.58285870e+03i, -4.95590000e-01 + 0.00000000e+00i, 3.94800000e-02 + 0.00000000e+00i, 8.67640000e-01 + 0.00000000e+00i, 
0.00000000e+00  17  lf-wheel 7.62000000e-01 + 0.00000000e+00i, 6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  17  rf-wheel 7.62000000e-01 + 0.00000000e+00i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  17  lr-wheel -7.62000000e-01 + 0.00000000e+00i, 6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  17  rr-wheel -7.62000000e-01 + 0.00000000e+00i, -6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 

0.00000000e+00  18  f-axle 7.70960000e-01 + 0.00000000e+00i, 1.67175254e+10 + 2.48554620e+04i, -7.60163451e+08 + 2.09561155e+03i, -9.25000000e-03 + 0.00000000e+00i, 4.54200000e-02 + 0.00000000e+00i, 9.98910000e-01 + 0.00000000e+00i, 
0.00000000e+00  18  lf-axle 7.71380000e-01 + 0.00000000e+00i, 2.18991982e+10 + 2.01753340e+04i, -2.58129091e+09 + -3.95137960e+02i, 4.48000000e-02 + 0.00000000e+00i, 1.16940000e-01 + 0.00000000e+00i, 9.92110000e-01 + 0.00000000e+00i, 
0.00000000e+00  18  rf-axle 7.72340000e-01 + 0.00000000e+00i, 2.22051351e+10 + 2.04588253e+04i, -6.44108076e+07 + 7.79956481e+03i, 4.51600000e-02 + 0.00000000e+00i, 2.90000000e-03 + 0.00000000e+00i, 9.98950000e-01 + 0.00000000e+00i, 
0.00000000e+00  18  r-axle-t 1.12900000e+00 + 0.00000000e+00i, 8.24421214e+09 + 1.22568844e+04i, -3.74010375e+08 + 1.03498000e+03i, -7.11960000e-01 + 0.00000000e+00i, 3.18200000e-02 + 0.00000000e+00i, 7.01480000e-01 + 0.00000000e+00i, 
0.00000000e+00  18  r-axle-b -2.19200000e-02 + 0.00000000e+00i, 8.24434747e+09 + 1.22582407e+04i, -3.74090024e+08 + 1.03323585e+03i, -7.11970000e-01 + 0.00000000e+00i, 3.18300000e-02 + 0.00000000e+00i, 7.01480000e-01 + 0.00000000e+00i, 
0.00000000e+00  18  lr-axle -7.42780000e-01 + 0.00000000e+00i, 1.21612548e+08 + 1.80804390e+02i, -5.51574289e+06 + 1.52333600e+01i, 9.96360000e-01 + 0.00000000e+00i, 3.86000000e-03 + 0.00000000e+00i, 8.52000000e-02 + 0.00000000e+00i, 
0.00000000e+00  18  rr-axle -7.42410000e-01 + 0.00000000e+00i, 1.21613760e+08 + 1.80803850e+02i, -5.51702366e+06 + 1.52363800e+01i, 9.96360000e-01 + 0.00000000e+00i, 3.87000000e-03 + 0.00000000e+00i, 8.52000000e-02 + 0.00000000e+00i, 
0.00000000e+00  18  chassis 4.94090000e-01 + 0.00000000e+00i, 1.26125622e+10 + 1.87506867e+04i, -5.73922942e+08 + 1.58285870e+03i, -4.95590000e-01 + 0.00000000e+00i, 3.94800000e-02 + 0.00000000e+00i, 8.67640000e-01 + 0.00000000e+00i, 
0.00000000e+00  18  lf-wheel 7.62000000e-01 + 0.00000000e+00i, 6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  18  rf-wheel 7.62000000e-01 + 0.00000000e+00i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  18  lr-wheel -7.62000000e-01 + 0.00000000e+00i, 6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  18  rr-wheel -7.62000000e-01 + 0.00000000e+00i, -6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 


