%%% Bode Mag Phase 
frequency speed  m1 m2 m3 p1 p2 p3
1.845769441881e-01 3.000000000000e+01 -8.330382988697e+01 -5.759050295548e+01 -8.691252460166e+01 -5.871959330757e+00 -1.768196661419e+02 1.739820912656e+02 
1.854294823211e-01 3.000000000000e+01 -8.330396628566e+01 -5.759036928147e+01 -8.691264911824e+01 -5.899086507605e+00 -1.768048949178e+02 1.739542895896e+02 
1.862859582226e-01 3.000000000000e+01 -8.330410395269e+01 -5.759023432337e+01 -8.691277479312e+01 -5.926339052929e+00 -1.767900543624e+02 1.739263594245e+02 
1.871463900807e-01 3.000000000000e+01 -8.330424289990e+01 -5.759009806844e+01 -8.691290163712e+01 -5.953717546719e+00 -1.767751441410e+02 1.738983001757e+02 
1.880107961673e-01 3.000000000000e+01 -8.330438313924e+01 -5.758996050381e+01 -8.691302966117e+01 -5.981222571661e+00 -1.767601639168e+02 1.738701112461e+02 
1.888791948390e-01 3.000000000000e+01 -8.330452468278e+01 -5.758982161646e+01 -8.691315887630e+01 -6.008854713139e+00 -1.767451133516e+02 1.738417920355e+02 
1.897516045370e-01 3.000000000000e+01 -8.330466754270e+01 -5.758968139324e+01 -8.691328929363e+01 -6.036614559257e+00 -1.767299921052e+02 1.738133419413e+02 
1.906280437878e-01 3.000000000000e+01 -8.330481173130e+01 -5.758953982087e+01 -8.691342092442e+01 -6.064502700843e+00 -1.767147998358e+02 1.737847603579e+02 
1.915085312033e-01 3.000000000000e+01 -8.330495726099e+01 -5.758939688593e+01 -8.691355378000e+01 -6.092519731471e+00 -1.766995361997e+02 1.737560466767e+02 
1.923930854816e-01 3.000000000000e+01 -8.330510414430e+01 -5.758925257484e+01 -8.691368787183e+01 -6.120666247464e+00 -1.766842008516e+02 1.737272002867e+02 
1.932817254070e-01 3.000000000000e+01 -8.330525239388e+01 -5.758910687389e+01 -8.691382321146e+01 -6.148942847915e+00 -1.766687934442e+02 1.736982205737e+02 
1.941744698506e-01 3.000000000000e+01 -8.330540202249e+01 -5.758895976923e+01 -8.691395981057e+01 -6.177350134694e+00 -1.766533136284e+02 1.736691069209e+02 
1.950713377705e-01 3.000000000000e+01 -8.330555304301e+01 -5.758881124687e+01 -8.691409768093e+01 -6.205888712466e+00 -1.766377610535e+02 1.736398587084e+02 
1.959723482128e-01 3.000000000000e+01 -8.330570546847e+01 -5.758866129264e+01 -8.691423683443e+01 -6.234559188699e+00 -1.766221353667e+02 1.736104753137e+02 
1.968775203111e-01 3.000000000000e+01 -8.330585931197e+01 -5.758850989225e+01 -8.691437728308e+01 -6.263362173682e+00 -1.766064362136e+02 1.735809561111e+02 
1.977868732877e-01 3.000000000000e+01 -8.330601458680e+01 -5.758835703124e+01 -8.691451903899e+01 -6.292298280534e+00 -1.765906632378e+02 1.735513004723e+02 
1.987004264535e-01 3.000000000000e+01 -8.330617130631e+01 -5.758820269503e+01 -8.691466211439e+01 -6.321368125221e+00 -1.765748160811e+02 1.735215077658e+02 
1.996181992087e-01 3.000000000000e+01 -8.330632948401e+01 -5.758804686884e+01 -8.691480652163e+01 -6.350572326565e+00 -1.765588943833e+02 1.734915773574e+02 
