%%% Speed, Mode, Body, Rotation centre, Axis of rotation
0.00000000e+00  7  lr-wheel 7.42806800e+01 + -2.28729100e+02i, 6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 3.11740000e-01 + 9.50170000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  7  rr-wheel 7.42806800e+01 + -2.28729100e+02i, -6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 3.11740000e-01 + 9.50170000e-01i, -0.00000000e+00 + 0.00000000e+00i, 

0.00000000e+00  8  f-axle 8.44670000e-01 + -1.13000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 7.29600000e-02 + 9.97330000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  8  lf-axle 8.44670000e-01 + -1.13000000e+00i, 5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 7.29600000e-02 + 9.97330000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  8  rf-axle 8.44670000e-01 + -1.13000000e+00i, -5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 7.29600000e-02 + 9.97330000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  8  r-axle-t -1.59023100e+01 + -4.61474700e+01i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -3.11740000e-01 + 9.50170000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  8  r-axle-b -1.59023100e+01 + -4.61474700e+01i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -3.11740000e-01 + 9.50170000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  8  lr-axle -1.59023100e+01 + -4.61474700e+01i, 5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -3.11740000e-01 + 9.50170000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  8  rr-axle -1.59023100e+01 + -4.61474700e+01i, -5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -3.11740000e-01 + 9.50170000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  8  chassis 5.52080000e-01 + 9.81000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 
