%%% Bode Mag Phase 
frequency speed  m1 m2 m3 m4 p1 p2 p3 p4
1.96751358e-01 0.00000000e+00 -1.17798332e+01 -2.97310549e+00 -2.74328183e+01 -7.24099529e+00 6.38146138e+00 1.79210621e+02 -7.60649851e+01 -2.43745304e+00 
1.97978156e-01 0.00000000e+00 -1.16440666e+01 -2.82876848e+00 -2.80039303e+01 -7.55723184e+00 6.17399020e+00 1.78977355e+02 -7.01467154e+01 -2.08870440e+00 
1.99212605e-01 0.00000000e+00 -1.29274537e+01 -5.63933162e+00 -3.42227260e+01 -8.18689753e+00 -1.18939177e+00 -1.77210874e+02 -8.04418586e+01 -1.05930324e+01 
2.00454750e-01 0.00000000e+00 -1.28757235e+01 -6.92789277e+00 -3.74845538e+01 -9.12554469e+00 -2.90997801e+00 -1.78257117e+02 -6.25220493e+01 -1.13999660e+01 
2.01704641e-01 0.00000000e+00 -1.37881672e+01 -2.72729003e+00 -2.27898460e+01 -7.14733910e+00 1.56009176e+01 -1.79031823e+02 -4.99179740e+01 -3.04379187e+00 
2.02962324e-01 0.00000000e+00 -1.21027325e+01 -3.63158202e+00 -2.61924104e+01 -7.87652987e+00 1.13319627e+01 -1.74116437e+02 -7.30305259e+01 2.45638034e-01 
2.04227850e-01 0.00000000e+00 -1.25645656e+01 -3.72768398e+00 -2.82059502e+01 -7.08437644e+00 3.11624858e+00 1.79687658e+02 -8.44232191e+01 -5.62911093e+00 
2.05501267e-01 0.00000000e+00 -1.23666774e+01 -6.04456660e+00 -3.16871644e+01 -8.98838713e+00 -2.80767942e-01 1.75415927e+02 -6.66807028e+01 -6.02424818e+00 
2.06782624e-01 0.00000000e+00 -1.25963342e+01 -2.65812611e+00 -2.46748470e+01 -7.63269685e+00 1.81557949e+01 -1.67954074e+02 -6.71176690e+01 5.06925853e-01 
2.08071971e-01 0.00000000e+00 -1.16674331e+01 -3.63482634e+00 -3.05527868e+01 -8.22838596e+00 2.38827890e+00 1.75620522e+02 -6.32046214e+01 -5.57027696e+00 
2.09369357e-01 0.00000000e+00 -1.22867449e+01 -2.67996396e+00 -2.77170656e+01 -9.49364121e+00 1.20495273e+01 -1.68636887e+02 -5.45550238e+01 5.30507588e-02 
2.10674832e-01 0.00000000e+00 -1.17010086e+01 -4.34193111e+00 -3.13862203e+01 -9.86873860e+00 2.71883330e+00 1.79088245e+02 -5.21722208e+01 -4.37264688e+00 
2.11988448e-01 0.00000000e+00 -1.15127311e+01 -3.14000333e+00 -2.58392310e+01 -7.34878454e+00 7.44232858e+00 -1.78947568e+02 -7.05268870e+01 -4.07013617e+00 
2.13310254e-01 0.00000000e+00 -1.16963725e+01 -3.02151698e+00 -2.56668854e+01 -7.74905771e+00 1.14839515e+01 -1.74624190e+02 -7.33669915e+01 2.28611059e+00 
2.14640302e-01 0.00000000e+00 -1.18878638e+01 -3.19296820e+00 -2.75289105e+01 -8.04867391e+00 8.81844725e+00 -1.76456224e+02 -6.64529472e+01 -1.88947407e+00 
2.15978643e-01 0.00000000e+00 -1.20413433e+01 -3.13190732e+00 -2.76111527e+01 -7.17552293e+00 8.07367135e+00 -1.78107121e+02 -7.49111819e+01 -4.23471640e+00 
2.17325329e-01 0.00000000e+00 -1.25225017e+01 -5.34903117e+00 -3.03200555e+01 -7.90898028e+00 -1.31801625e+00 1.73795264e+02 -7.50443001e+01 -5.74217205e+00 
2.18680413e-01 0.00000000e+00 -1.16945401e+01 -8.71621105e+00 -3.27308536e+01 -1.75551847e+01 -3.70618621e+00 1.67597561e+02 -1.53727492e+01 -7.20210107e+00 
2.20043945e-01 0.00000000e+00 -1.25145343e+01 -2.44590262e+00 -2.71633003e+01 -1.01854388e+01 1.28534838e+01 -1.67177886e+02 -4.94581085e+01 2.72679737e+00 
2.21415980e-01 0.00000000e+00 -1.16258061e+01 -7.36442522e+00 -3.25424491e+01 -1.51614899e+01 -3.24214644e+00 1.66312370e+02 -2.60717025e+01 -3.99247420e+00 
2.22796569e-01 0.00000000e+00 -1.26267701e+01 -2.91757605e+00 -2.33460232e+01 -7.18739449e+00 9.87478255e+00 -1.78480334e+02 -6.03458072e+01 -3.68671587e+00 
2.24185767e-01 0.00000000e+00 -1.15951833e+01 -2.63756954e+00 -2.65969701e+01 -8.21645173e+00 8.53115358e+00 -1.76714209e+02 -6.55969950e+01 3.07027657e+00 
2.25583627e-01 0.00000000e+00 -1.19657250e+01 -2.55317130e+00 -2.74348463e+01 -7.90723042e+00 9.29830926e+00 -1.76361881e+02 -5.97327219e+01 -2.67011724e+00 
2.26990203e-01 0.00000000e+00 -1.35142737e+01 -5.13520187e+00 -2.34572999e+01 -1.09382591e+01 2.34903742e+01 -1.46234043e+02 -6.44182379e+01 1.39748298e+01 
2.28405549e-01 0.00000000e+00 -1.20026985e+01 -3.18305132e+00 -2.96440025e+01 -1.12410898e+01 5.55379908e+00 -1.76282824e+02 -3.81800607e+01 -1.31241771e+00 
2.29829721e-01 0.00000000e+00 -1.18740233e+01 -3.55573687e+00 -2.59325664e+01 -7.48744320e+00 7.84241133e+00 1.79886095e+02 -7.82699195e+01 1.60829927e+00 
2.31262772e-01 0.00000000e+00 -1.31544657e+01 -2.31868008e+00 -2.60555403e+01 -1.10404050e+01 1.69772191e+01 -1.58021794e+02 -4.87735737e+01 9.59988666e+00 
2.32704759e-01 0.00000000e+00 -1.17733315e+01 -2.45723586e+00 -2.68892389e+01 -7.55666146e+00 9.02676353e+00 -1.77866233e+02 -6.21142542e+01 -1.63087320e+00 
2.34155737e-01 0.00000000e+00 -1.20279239e+01 -2.28323400e+00 -2.46158907e+01 -8.21935160e+00 1.53582485e+01 -1.67972520e+02 -6.37668804e+01 5.74978794e+00 
2.35615763e-01 0.00000000e+00 -1.22319451e+01 -4.06756477e+00 -2.44689183e+01 -9.08844251e+00 1.68626659e+01 -1.63922440e+02 -6.88766830e+01 6.36636570e+00 
2.37084892e-01 0.00000000e+00 -1.23332950e+01 -7.76566094e+00 -6.05045500e+01 -1.03274590e+01 -5.68840082e+00 -1.72932544e+02 4.99912966e+01 -1.86207694e+01 
2.38563181e-01 0.00000000e+00 -1.20039024e+01 -1.98762160e+00 -2.43823102e+01 -7.37870602e+00 1.54768313e+01 -1.71265150e+02 -6.40511270e+01 2.26710149e+00 
2.40050688e-01 0.00000000e+00 -1.14427602e+01 -6.29703409e+00 -3.57929645e+01 -1.18890897e+01 -2.33251000e+00 1.72187213e+02 -2.63770426e+01 -9.43125062e+00 
2.41547470e-01 0.00000000e+00 -1.24322145e+01 -4.44844978e+00 -2.97283118e+01 -7.41314896e+00 1.17369371e+00 -1.79693419e+02 -7.98806108e+01 -8.02565711e+00 
2.43053585e-01 0.00000000e+00 -1.19501652e+01 -5.58421321e+00 -3.08723741e+01 -8.87635359e+00 -7.20844293e-01 1.70862845e+02 -6.70621047e+01 -3.45533659e+00 
2.44569091e-01 0.00000000e+00 -1.18243989e+01 -3.49602195e+00 -2.77698341e+01 -8.99506371e+00 9.14626498e+00 -1.72171026e+02 -6.20791373e+01 5.25658901e-01 
2.46094047e-01 0.00000000e+00 -1.17253646e+01 -3.87288508e+00 -3.20090037e+01 -1.14965373e+01 4.46953224e+00 -1.73355624e+02 -3.74809123e+01 -5.08251143e+00 
2.47628511e-01 0.00000000e+00 -1.15342144e+01 -5.28076516e+00 -3.24861705e+01 -1.02275657e+01 2.93745122e-01 1.74549811e+02 -4.97009833e+01 -5.23637196e+00 
2.49172543e-01 0.00000000e+00 -1.18215117e+01 -4.90200137e+00 -2.67406512e+01 -1.01059547e+01 1.11482163e+01 -1.67587012e+02 -6.66238027e+01 6.19759223e+00 
2.50726202e-01 0.00000000e+00 -1.31754718e+01 -1.04585526e+01 -3.74151917e+01 -1.52599753e+01 -1.14045710e+01 -1.40662964e+02 9.88116576e+01 -3.26659687e+01 
2.52289549e-01 0.00000000e+00 -1.18012756e+01 -3.11437697e+00 -2.91460552e+01 -8.67374508e+00 3.84161851e+00 -1.76594063e+02 -1.13451222e+02 -4.61068931e+00 
