%%% Speed, Mode, Body, Rotation centre, Axis of rotation
0.00000000e+00  6  f-axle 7.45220000e-01 + -6.00000000e-05i, -0.00000000e+00 + 0.00000000e+00i, -1.51400000e-02 + 0.00000000e+00i, 9.89540000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -1.44240000e-01 + 4.90000000e-04i, 
0.00000000e+00  6  lf-axle 6.94580000e-01 + -9.00000000e-05i, 1.26010000e-01 + 7.00000000e-05i, 4.86400000e-02 + 1.00000000e-05i, 8.77110000e-01 + 0.00000000e+00i, 6.26500000e-02 + -2.00000000e-05i, -4.76190000e-01 + 5.00000000e-04i, 
0.00000000e+00  6  rf-axle 6.94580000e-01 + -9.00000000e-05i, -1.26010000e-01 + -7.00000000e-05i, 4.86400000e-02 + 1.00000000e-05i, 8.77110000e-01 + 0.00000000e+00i, -6.26500000e-02 + 2.00000000e-05i, -4.76190000e-01 + 5.00000000e-04i, 
0.00000000e+00  6  r-axle-t -7.09850000e-01 + -2.00000000e-04i, 0.00000000e+00 + 0.00000000e+00i, -1.48500000e-02 + -1.00000000e-05i, 9.88670000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.50110000e-01 + 5.80000000e-04i, 
0.00000000e+00  6  r-axle-b -7.41590000e-01 + -8.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, -5.81000000e-03 + 0.00000000e+00i, 9.88670000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.50110000e-01 + 5.80000000e-04i, 
0.00000000e+00  6  lr-axle -7.30180000e-01 + -1.20000000e-04i, 3.49300000e-02 + 1.00000000e-05i, 4.52000000e-03 + 0.00000000e+00i, 9.90070000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.40580000e-01 + 5.40000000e-04i, 
0.00000000e+00  6  rr-axle -7.30180000e-01 + -1.20000000e-04i, -3.49300000e-02 + -1.00000000e-05i, 4.52000000e-03 + 0.00000000e+00i, 9.90070000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.40580000e-01 + 5.40000000e-04i, 
0.00000000e+00  6  chassis -4.63800000e-02 + -3.13000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 2.99600000e-01 + 7.00000000e-05i, -8.52000000e-03 + -1.98000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 9.99960000e-01 + 0.00000000e+00i, 
0.00000000e+00  6  lf-wheel 8.45810000e-01 + 3.80000000e-04i, 1.87290000e-01 + 6.00000000e-05i, 4.51500000e-02 + 0.00000000e+00i, 8.18620000e-01 + 0.00000000e+00i, 3.63790000e-01 + -1.01000000e-03i, -4.44440000e-01 + 4.70000000e-04i, 
0.00000000e+00  6  rf-wheel 8.45810000e-01 + 3.80000000e-04i, -1.87290000e-01 + -6.00000000e-05i, 4.51500000e-02 + 0.00000000e+00i, 8.18620000e-01 + 0.00000000e+00i, -3.63790000e-01 + 1.01000000e-03i, -4.44440000e-01 + 4.70000000e-04i, 
0.00000000e+00  6  lr-wheel -9.15460000e-01 + 5.90000000e-04i, 1.02650000e-01 + 1.00000000e-05i, 3.98000000e-03 + 0.00000000e+00i, 9.28860000e-01 + 0.00000000e+00i, -3.46160000e-01 + -1.32000000e-03i, 1.31890000e-01 + 5.00000000e-04i, 
0.00000000e+00  6  rr-wheel -9.15460000e-01 + 5.90000000e-04i, -1.02650000e-01 + -1.00000000e-05i, 3.98000000e-03 + 0.00000000e+00i, 9.28860000e-01 + 0.00000000e+00i, 3.46160000e-01 + 1.32000000e-03i, 1.31890000e-01 + 5.00000000e-04i, 
0.00000000e+00  6  left-rear-bellcrank -4.55800000e-02 + -2.93000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.05240000e-01 + -1.25000000e-03i, -8.52000000e-03 + -1.98000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 9.99960000e-01 + 0.00000000e+00i, 
0.00000000e+00  6  right-rear-bellcrank -4.55800000e-02 + -2.93000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.05240000e-01 + -1.25000000e-03i, -8.52000000e-03 + -1.98000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 9.99960000e-01 + 0.00000000e+00i, 
