%%% Speed, Mode, Body, Rotation centre, Axis of rotation
0.00000000e+00  13  lf-axle 7.32600000e-01 + 1.64000000e-03i, 5.47810000e-01 + 1.18000000e-03i, 2.25090000e-01 + 0.00000000e+00i, -1.03640000e-01 + 1.25900000e-02i, -1.69830000e-01 + 0.00000000e+00i, 9.79930000e-01 + 0.00000000e+00i, 
0.00000000e+00  13  rf-axle 7.32600000e-01 + 1.64000000e-03i, -5.47810000e-01 + -1.18000000e-03i, 2.25090000e-01 + 0.00000000e+00i, -1.03640000e-01 + 1.25900000e-02i, 1.69830000e-01 + 0.00000000e+00i, 9.79930000e-01 + 0.00000000e+00i, 
0.00000000e+00  13  r-axle-t -9.55530000e-01 + 2.17900000e-02i, 0.00000000e+00 + 0.00000000e+00i, 1.05553000e+00 + -3.08420000e-01i, 9.70910000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.29520000e-01 + -6.82700000e-02i, 
0.00000000e+00  13  r-axle-b -8.37740000e-01 + 8.53000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 4.13090000e-01 + -1.20700000e-01i, 9.70910000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.29520000e-01 + -6.82700000e-02i, 
0.00000000e+00  13  lr-axle -7.83770000e-01 + 2.45000000e-03i, 7.41670000e-01 + 8.34800000e-02i, 2.12000000e-03 + 0.00000000e+00i, 9.95350000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -9.56900000e-02 + -1.07800000e-02i, 
0.00000000e+00  13  rr-axle -7.83770000e-01 + 2.45000000e-03i, -7.41670000e-01 + -8.34800000e-02i, 2.12000000e-03 + 0.00000000e+00i, 9.95350000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -9.56900000e-02 + -1.07800000e-02i, 
0.00000000e+00  13  chassis 9.10000000e-04 + 1.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, 1.10520000e-01 + -6.10000000e-04i, 9.99990000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 4.80000000e-03 + -3.00000000e-05i, 
0.00000000e+00  13  lf-wheel 7.32140000e-01 + 9.70000000e-04i, 5.50690000e-01 + 1.14000000e-03i, 2.13320000e-01 + 0.00000000e+00i, -1.02160000e-01 + 1.24100000e-02i, -2.37130000e-01 + 0.00000000e+00i, 9.66010000e-01 + 0.00000000e+00i, 
0.00000000e+00  13  rf-wheel 7.32140000e-01 + 9.70000000e-04i, -5.50690000e-01 + -1.14000000e-03i, 2.13320000e-01 + 0.00000000e+00i, -1.02160000e-01 + 1.24100000e-02i, 2.37130000e-01 + 0.00000000e+00i, 9.66010000e-01 + 0.00000000e+00i, 
0.00000000e+00  13  lr-wheel -8.19620000e-01 + -1.35600000e-02i, 7.33160000e-01 + 7.84700000e-02i, 1.99000000e-03 + 0.00000000e+00i, 9.65010000e-01 + 0.00000000e+00i, 2.43500000e-01 + 2.74200000e-02i, -9.27800000e-02 + -1.04500000e-02i, 
0.00000000e+00  13  rr-wheel -8.19620000e-01 + -1.35600000e-02i, -7.33160000e-01 + -7.84700000e-02i, 1.99000000e-03 + 0.00000000e+00i, 9.65010000e-01 + 0.00000000e+00i, -2.43500000e-01 + -2.74200000e-02i, -9.27800000e-02 + -1.04500000e-02i, 
0.00000000e+00  13  left-rear-bellcrank -6.61560000e-01 + 1.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, 1.07350000e-01 + -6.00000000e-04i, 9.99990000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 4.80000000e-03 + -3.00000000e-05i, 
0.00000000e+00  13  right-rear-bellcrank -6.61560000e-01 + 1.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, 1.07350000e-01 + -6.00000000e-04i, 9.99990000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 4.80000000e-03 + -3.00000000e-05i, 
0.00000000e+00  13  centre-rear-bellcrank -5.62040000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.07820000e-01 + -6.00000000e-04i, 9.99990000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 4.80000000e-03 + -3.00000000e-05i, 

0.00000000e+00  14  f-axle 6.86700000e-01 + -2.95000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 5.54160000e-01 + 1.04910000e-01i, 9.87180000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.56800000e-01 + 2.98100000e-02i, 
0.00000000e+00  14  lf-axle 7.32600000e-01 + -1.64000000e-03i, 5.47810000e-01 + -1.18000000e-03i, 2.25090000e-01 + 0.00000000e+00i, -1.03640000e-01 + -1.25900000e-02i, -1.69830000e-01 + 0.00000000e+00i, 9.79930000e-01 + 0.00000000e+00i, 
0.00000000e+00  14  rf-axle 7.32600000e-01 + -1.64000000e-03i, -5.47810000e-01 + 1.18000000e-03i, 2.25090000e-01 + 0.00000000e+00i, -1.03640000e-01 + -1.25900000e-02i, 1.69830000e-01 + 0.00000000e+00i, 9.79930000e-01 + 0.00000000e+00i, 
0.00000000e+00  14  r-axle-t -9.55530000e-01 + -2.17900000e-02i, 0.00000000e+00 + 0.00000000e+00i, 1.05553000e+00 + 3.08420000e-01i, 9.70910000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.29520000e-01 + 6.82700000e-02i, 
0.00000000e+00  14  r-axle-b -8.37740000e-01 + -8.53000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 4.13090000e-01 + 1.20700000e-01i, 9.70910000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.29520000e-01 + 6.82700000e-02i, 
0.00000000e+00  14  lr-axle -7.83770000e-01 + -2.45000000e-03i, 7.41670000e-01 + -8.34800000e-02i, 2.12000000e-03 + 0.00000000e+00i, 9.95350000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -9.56900000e-02 + 1.07800000e-02i, 
0.00000000e+00  14  rr-axle -7.83770000e-01 + -2.45000000e-03i, -7.41670000e-01 + 8.34800000e-02i, 2.12000000e-03 + 0.00000000e+00i, 9.95350000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -9.56900000e-02 + 1.07800000e-02i, 
0.00000000e+00  14  chassis 9.10000000e-04 + -1.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, 1.10520000e-01 + 6.10000000e-04i, 9.99990000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 4.80000000e-03 + 3.00000000e-05i, 
0.00000000e+00  14  lf-wheel 7.32140000e-01 + -9.70000000e-04i, 5.50690000e-01 + -1.14000000e-03i, 2.13320000e-01 + 0.00000000e+00i, -1.02160000e-01 + -1.24100000e-02i, -2.37130000e-01 + 0.00000000e+00i, 9.66010000e-01 + 0.00000000e+00i, 
0.00000000e+00  14  rf-wheel 7.32140000e-01 + -9.70000000e-04i, -5.50690000e-01 + 1.14000000e-03i, 2.13320000e-01 + 0.00000000e+00i, -1.02160000e-01 + -1.24100000e-02i, 2.37130000e-01 + 0.00000000e+00i, 9.66010000e-01 + 0.00000000e+00i, 
0.00000000e+00  14  lr-wheel -8.19620000e-01 + 1.35600000e-02i, 7.33160000e-01 + -7.84700000e-02i, 1.99000000e-03 + 0.00000000e+00i, 9.65010000e-01 + 0.00000000e+00i, 2.43500000e-01 + -2.74200000e-02i, -9.27800000e-02 + 1.04500000e-02i, 
0.00000000e+00  14  rr-wheel -8.19620000e-01 + 1.35600000e-02i, -7.33160000e-01 + 7.84700000e-02i, 1.99000000e-03 + 0.00000000e+00i, 9.65010000e-01 + 0.00000000e+00i, -2.43500000e-01 + 2.74200000e-02i, -9.27800000e-02 + 1.04500000e-02i, 
0.00000000e+00  14  left-rear-bellcrank -6.61560000e-01 + -1.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, 1.07350000e-01 + 6.00000000e-04i, 9.99990000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 4.80000000e-03 + 3.00000000e-05i, 
0.00000000e+00  14  right-rear-bellcrank -6.61560000e-01 + -1.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, 1.07350000e-01 + 6.00000000e-04i, 9.99990000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 4.80000000e-03 + 3.00000000e-05i, 
0.00000000e+00  14  centre-rear-bellcrank -5.62040000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.07820000e-01 + 6.00000000e-04i, 9.99990000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 4.80000000e-03 + 3.00000000e-05i, 

0.00000000e+00  15  f-axle 7.41510000e-01 + 0.00000000e+00i, -2.14567240e+09 + 9.21214520e+02i, -2.03972436e+11 + -9.73343913e+05i, 5.34900000e-02 + 0.00000000e+00i, 9.98330000e-01 + 0.00000000e+00i, -1.05000000e-02 + 0.00000000e+00i, 
0.00000000e+00  15  lf-axle 7.64680000e-01 + 0.00000000e+00i, -4.79655699e+10 + 8.04079956e+04i, -1.80929481e+11 + -8.10054727e+05i, 9.23500000e-02 + 0.00000000e+00i, 9.62320000e-01 + 0.00000000e+00i, -2.55120000e-01 + 0.00000000e+00i, 
0.00000000e+00  15  rf-axle 7.07840000e-01 + 0.00000000e+00i, -5.77744742e+10 + 9.44596939e+04i, -1.95529748e+11 + -9.95728917e+05i, 1.01160000e-01 + 0.00000000e+00i, 9.53920000e-01 + 0.00000000e+00i, -2.81860000e-01 + 0.00000000e+00i, 
0.00000000e+00  15  r-axle-t -7.47160000e-01 + 0.00000000e+00i, -2.14821368e+09 + 1.32452558e+03i, -2.04189189e+11 + -9.74798369e+05i, -4.45100000e-02 + 0.00000000e+00i, 9.98770000e-01 + 0.00000000e+00i, -1.05100000e-02 + 0.00000000e+00i, 
0.00000000e+00  15  r-axle-b -7.47360000e-01 + 0.00000000e+00i, -2.16750648e+09 + 7.64320760e+02i, -2.04093059e+11 + -9.73281690e+05i, -4.52300000e-02 + 0.00000000e+00i, 9.98740000e-01 + 0.00000000e+00i, -1.06100000e-02 + 0.00000000e+00i, 
0.00000000e+00  15  lr-axle -7.71960000e-01 + 0.00000000e+00i, -2.17246905e+09 + 6.47925060e+02i, -2.04539166e+11 + -9.75775140e+05i, -6.55000000e-03 + 0.00000000e+00i, 9.99740000e-01 + 0.00000000e+00i, -1.06200000e-02 + 0.00000000e+00i, 
0.00000000e+00  15  rr-axle -7.22540000e-01 + 0.00000000e+00i, -2.18193490e+09 + 9.72766030e+02i, -2.04629418e+11 + -9.76534407e+05i, -7.94000000e-03 + 0.00000000e+00i, 9.99730000e-01 + 0.00000000e+00i, -1.06600000e-02 + 0.00000000e+00i, 
0.00000000e+00  15  chassis -3.00340000e-01 + 0.00000000e+00i, -1.73255733e+09 + 3.86637080e+02i, -1.55698180e+11 + -7.42663163e+05i, -4.88740000e-01 + 0.00000000e+00i, 8.72200000e-01 + 0.00000000e+00i, -9.71000000e-03 + 0.00000000e+00i, 
0.00000000e+00  15  lf-wheel 7.62000000e-01 + 0.00000000e+00i, 6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  15  rf-wheel 7.62000000e-01 + 0.00000000e+00i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  15  lr-wheel -7.62000000e-01 + 0.00000000e+00i, 6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  15  rr-wheel -7.62000000e-01 + 0.00000000e+00i, -6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  15  left-rear-bellcrank -6.27090000e-01 + 0.00000000e+00i, -5.12625288e+08 + 1.94002140e+02i, -4.62519396e+10 + -2.20528958e+05i, -8.79610000e-01 + 0.00000000e+00i, 4.75490000e-01 + 0.00000000e+00i, -5.27000000e-03 + 0.00000000e+00i, 
0.00000000e+00  15  right-rear-bellcrank -4.14730000e-01 + 0.00000000e+00i, -1.48614802e+09 + 6.01192750e+02i, -1.33443926e+11 + -6.36401796e+05i, 5.89470000e-01 + 0.00000000e+00i, 8.07560000e-01 + 0.00000000e+00i, -8.99000000e-03 + 0.00000000e+00i, 
0.00000000e+00  15  centre-rear-bellcrank -4.93690000e-01 + 0.00000000e+00i, -3.95787941e+08 + 1.13642430e+02i, -8.42187697e+10 + -2.55194493e+05i, -2.37430000e-01 + 0.00000000e+00i, 9.71320000e-01 + 0.00000000e+00i, -4.56000000e-03 + 0.00000000e+00i, 

0.00000000e+00  16  f-axle 7.41510000e-01 + 0.00000000e+00i, -2.14567240e+09 + -9.21214520e+02i, -2.03972436e+11 + 9.73343913e+05i, 5.34900000e-02 + 0.00000000e+00i, 9.98330000e-01 + 0.00000000e+00i, -1.05000000e-02 + 0.00000000e+00i, 
0.00000000e+00  16  lf-axle 7.64680000e-01 + 0.00000000e+00i, -4.79655699e+10 + -8.04079956e+04i, -1.80929481e+11 + 8.10054727e+05i, 9.23500000e-02 + 0.00000000e+00i, 9.62320000e-01 + 0.00000000e+00i, -2.55120000e-01 + 0.00000000e+00i, 
0.00000000e+00  16  rf-axle 7.07840000e-01 + 0.00000000e+00i, -5.77744742e+10 + -9.44596939e+04i, -1.95529748e+11 + 9.95728917e+05i, 1.01160000e-01 + 0.00000000e+00i, 9.53920000e-01 + 0.00000000e+00i, -2.81860000e-01 + 0.00000000e+00i, 
0.00000000e+00  16  r-axle-t -7.47160000e-01 + 0.00000000e+00i, -2.14821368e+09 + -1.32452558e+03i, -2.04189189e+11 + 9.74798369e+05i, -4.45100000e-02 + 0.00000000e+00i, 9.98770000e-01 + 0.00000000e+00i, -1.05100000e-02 + 0.00000000e+00i, 
0.00000000e+00  16  r-axle-b -7.47360000e-01 + 0.00000000e+00i, -2.16750648e+09 + -7.64320760e+02i, -2.04093059e+11 + 9.73281690e+05i, -4.52300000e-02 + 0.00000000e+00i, 9.98740000e-01 + 0.00000000e+00i, -1.06100000e-02 + 0.00000000e+00i, 
0.00000000e+00  16  lr-axle -7.71960000e-01 + 0.00000000e+00i, -2.17246905e+09 + -6.47925060e+02i, -2.04539166e+11 + 9.75775140e+05i, -6.55000000e-03 + 0.00000000e+00i, 9.99740000e-01 + 0.00000000e+00i, -1.06200000e-02 + 0.00000000e+00i, 
0.00000000e+00  16  rr-axle -7.22540000e-01 + 0.00000000e+00i, -2.18193490e+09 + -9.72766030e+02i, -2.04629418e+11 + 9.76534407e+05i, -7.94000000e-03 + 0.00000000e+00i, 9.99730000e-01 + 0.00000000e+00i, -1.06600000e-02 + 0.00000000e+00i, 
0.00000000e+00  16  chassis -3.00340000e-01 + 0.00000000e+00i, -1.73255733e+09 + -3.86637080e+02i, -1.55698180e+11 + 7.42663163e+05i, -4.88740000e-01 + 0.00000000e+00i, 8.72200000e-01 + 0.00000000e+00i, -9.71000000e-03 + 0.00000000e+00i, 
0.00000000e+00  16  lf-wheel 7.62000000e-01 + 0.00000000e+00i, 6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  16  rf-wheel 7.62000000e-01 + 0.00000000e+00i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  16  lr-wheel -7.62000000e-01 + 0.00000000e+00i, 6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  16  rr-wheel -7.62000000e-01 + 0.00000000e+00i, -6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  16  left-rear-bellcrank -6.27090000e-01 + 0.00000000e+00i, -5.12625288e+08 + -1.94002140e+02i, -4.62519396e+10 + 2.20528958e+05i, -8.79610000e-01 + 0.00000000e+00i, 4.75490000e-01 + 0.00000000e+00i, -5.27000000e-03 + 0.00000000e+00i, 
0.00000000e+00  16  right-rear-bellcrank -4.14730000e-01 + 0.00000000e+00i, -1.48614802e+09 + -6.01192750e+02i, -1.33443926e+11 + 6.36401796e+05i, 5.89470000e-01 + 0.00000000e+00i, 8.07560000e-01 + 0.00000000e+00i, -8.99000000e-03 + 0.00000000e+00i, 
0.00000000e+00  16  centre-rear-bellcrank -4.93690000e-01 + 0.00000000e+00i, -3.95787941e+08 + -1.13642430e+02i, -8.42187697e+10 + 2.55194493e+05i, -2.37430000e-01 + 0.00000000e+00i, 9.71320000e-01 + 0.00000000e+00i, -4.56000000e-03 + 0.00000000e+00i, 


