%%% Bode Mag Phase 
frequency speed  m1 p1
1.652792061465e-01 0.000000000000e+00 -3.990773318375e+01 -1.202807022755e+00 
1.660428657188e-01 0.000000000000e+00 -3.990687418634e+01 -1.208484846019e+00 
1.668100537200e-01 0.000000000000e+00 -3.990600715022e+01 -1.214190603196e+00 
1.675807864531e-01 0.000000000000e+00 -3.990513199937e+01 -1.219924447596e+00 
1.683550802961e-01 0.000000000000e+00 -3.990424865708e+01 -1.225686533585e+00 
1.691329517030e-01 0.000000000000e+00 -3.990335704585e+01 -1.231477016601e+00 
1.699144172035e-01 0.000000000000e+00 -3.990245708745e+01 -1.237296053160e+00 
1.706994934038e-01 0.000000000000e+00 -3.990154870290e+01 -1.243143800870e+00 
1.714881969871e-01 0.000000000000e+00 -3.990063181245e+01 -1.249020418437e+00 
1.722805447131e-01 0.000000000000e+00 -3.989970633558e+01 -1.254926065681e+00 
1.730765534196e-01 0.000000000000e+00 -3.989877219100e+01 -1.260860903542e+00 
1.738762400216e-01 0.000000000000e+00 -3.989782929663e+01 -1.266825094095e+00 
1.746796215127e-01 0.000000000000e+00 -3.989687756958e+01 -1.272818800556e+00 
1.754867149648e-01 0.000000000000e+00 -3.989591692617e+01 -1.278842187300e+00 
1.762975375287e-01 0.000000000000e+00 -3.989494728192e+01 -1.284895419864e+00 
1.771121064345e-01 0.000000000000e+00 -3.989396855152e+01 -1.290978664966e+00 
1.779304389919e-01 0.000000000000e+00 -3.989298064882e+01 -1.297092090513e+00 
1.787525525904e-01 0.000000000000e+00 -3.989198348686e+01 -1.303235865612e+00 
1.795784647002e-01 0.000000000000e+00 -3.989097697782e+01 -1.309410160585e+00 
1.804081928719e-01 0.000000000000e+00 -3.988996103304e+01 -1.315615146979e+00 
1.812417547374e-01 0.000000000000e+00 -3.988893556299e+01 -1.321850997577e+00 
1.820791680099e-01 0.000000000000e+00 -3.988790047727e+01 -1.328117886412e+00 
1.829204504846e-01 0.000000000000e+00 -3.988685568459e+01 -1.334415988782e+00 
1.837656200388e-01 0.000000000000e+00 -3.988580109281e+01 -1.340745481258e+00 
1.846146946325e-01 0.000000000000e+00 -3.988473660886e+01 -1.347106541699e+00 
1.854676923085e-01 0.000000000000e+00 -3.988366213878e+01 -1.353499349265e+00 
1.863246311932e-01 0.000000000000e+00 -3.988257758767e+01 -1.359924084431e+00 
1.871855294966e-01 0.000000000000e+00 -3.988148285975e+01 -1.366380929001e+00 
1.880504055129e-01 0.000000000000e+00 -3.988037785827e+01 -1.372870066117e+00 
1.889192776208e-01 0.000000000000e+00 -3.987926248555e+01 -1.379391680278e+00 
1.897921642839e-01 0.000000000000e+00 -3.987813664296e+01 -1.385945957352e+00 
1.906690840512e-01 0.000000000000e+00 -3.987700023090e+01 -1.392533084590e+00 
1.915500555574e-01 0.000000000000e+00 -3.987585314881e+01 -1.399153250640e+00 
1.924350975230e-01 0.000000000000e+00 -3.987469529513e+01 -1.405806645562e+00 
1.933242287555e-01 0.000000000000e+00 -3.987352656732e+01 -1.412493460842e+00 
1.942174681489e-01 0.000000000000e+00 -3.987234686184e+01 -1.419213889409e+00 
1.951148346847e-01 0.000000000000e+00 -3.987115607414e+01 -1.425968125646e+00 
1.960163474319e-01 0.000000000000e+00 -3.986995409862e+01 -1.432756365411e+00 
1.969220255479e-01 0.000000000000e+00 -3.986874082867e+01 -1.439578806047e+00 
1.978318882784e-01 0.000000000000e+00 -3.986751615665e+01 -1.446435646400e+00 
1.987459549581e-01 0.000000000000e+00 -3.986627997382e+01 -1.453327086837e+00 
1.996642450110e-01 0.000000000000e+00 -3.986503217043e+01 -1.460253329259e+00 
2.005867779508e-01 0.000000000000e+00 -3.986377263559e+01 -1.467214577117e+00 
2.015135733816e-01 0.000000000000e+00 -3.986250125739e+01 -1.474211035432e+00 
2.024446509977e-01 0.000000000000e+00 -3.986121792276e+01 -1.481242910810e+00 
2.033800305847e-01 0.000000000000e+00 -3.985992251755e+01 -1.488310411458e+00 
2.043197320195e-01 0.000000000000e+00 -3.985861492650e+01 -1.495413747201e+00 
2.052637752709e-01 0.000000000000e+00 -3.985729503318e+01 -1.502553129504e+00 
2.062121803999e-01 0.000000000000e+00 -3.985596272004e+01 -1.509728771484e+00 
2.071649675602e-01 0.000000000000e+00 -3.985461786837e+01 -1.516940887931e+00 
2.081221569986e-01 0.000000000000e+00 -3.985326035828e+01 -1.524189695326e+00 
2.090837690556e-01 0.000000000000e+00 -3.985189006871e+01 -1.531475411859e+00 
2.100498241654e-01 0.000000000000e+00 -3.985050687740e+01 -1.538798257449e+00 
2.110203428569e-01 0.000000000000e+00 -3.984911066088e+01 -1.546158453760e+00 
2.119953457536e-01 0.000000000000e+00 -3.984770129447e+01 -1.553556224225e+00 
2.129748535746e-01 0.000000000000e+00 -3.984627865225e+01 -1.560991794061e+00 
2.139588871343e-01 0.000000000000e+00 -3.984484260706e+01 -1.568465390291e+00 
2.149474673438e-01 0.000000000000e+00 -3.984339303048e+01 -1.575977241765e+00 
2.159406152104e-01 0.000000000000e+00 -3.984192979282e+01 -1.583527579179e+00 
2.169383518385e-01 0.000000000000e+00 -3.984045276311e+01 -1.591116635095e+00 
2.179406984303e-01 0.000000000000e+00 -3.983896180906e+01 -1.598744643964e+00 
2.189476762857e-01 0.000000000000e+00 -3.983745679711e+01 -1.606411842146e+00 
2.199593068030e-01 0.000000000000e+00 -3.983593759232e+01 -1.614118467932e+00 
2.209756114796e-01 0.000000000000e+00 -3.983440405847e+01 -1.621864761566e+00 
2.219966119120e-01 0.000000000000e+00 -3.983285605794e+01 -1.629650965267e+00 
2.230223297966e-01 0.000000000000e+00 -3.983129345176e+01 -1.637477323252e+00 
2.240527869300e-01 0.000000000000e+00 -3.982971609959e+01 -1.645344081757e+00 
2.250880052095e-01 0.000000000000e+00 -3.982812385966e+01 -1.653251489063e+00 
2.261280066337e-01 0.000000000000e+00 -3.982651658883e+01 -1.661199795519e+00 
2.271728133027e-01 0.000000000000e+00 -3.982489414249e+01 -1.669189253562e+00 
2.282224474187e-01 0.000000000000e+00 -3.982325637463e+01 -1.677220117749e+00 
2.292769312866e-01 0.000000000000e+00 -3.982160313775e+01 -1.685292644772e+00 
