%%% Bode Mag Phase 
frequency speed  m1 m2 p1 p2
1.36500781e-05 3.00000000e+01 -2.53937753e+01 -1.53398533e+01 -1.79955931e+02 -1.79956310e+02 
1.39361927e-05 3.00000000e+01 -2.53973853e+01 -1.53481027e+01 -1.79955051e+02 -1.79955437e+02 
1.42283046e-05 3.00000000e+01 -2.54008361e+01 -1.53559962e+01 -1.79954150e+02 -1.79954544e+02 
1.45265393e-05 3.00000000e+01 -2.54041304e+01 -1.53635486e+01 -1.79953230e+02 -1.79953632e+02 
1.48310251e-05 3.00000000e+01 -2.54072901e+01 -1.53707872e+01 -1.79952290e+02 -1.79952700e+02 
1.51418933e-05 3.00000000e+01 -2.54103192e+01 -1.53777280e+01 -1.79951329e+02 -1.79951748e+02 
1.54592774e-05 3.00000000e+01 -2.54132344e+01 -1.53843901e+01 -1.79950347e+02 -1.79950775e+02 
1.57833141e-05 3.00000000e+01 -2.54160110e+01 -1.53907605e+01 -1.79949344e+02 -1.79949780e+02 
1.61141428e-05 3.00000000e+01 -2.54186474e+01 -1.53968386e+01 -1.79948318e+02 -1.79948764e+02 
1.64519059e-05 3.00000000e+01 -2.54211893e+01 -1.54026793e+01 -1.79947271e+02 -1.79947725e+02 
1.67967487e-05 3.00000000e+01 -2.54236347e+01 -1.54082878e+01 -1.79946200e+02 -1.79946664e+02 
1.71488197e-05 3.00000000e+01 -2.54259834e+01 -1.54136694e+01 -1.79945107e+02 -1.79945581e+02 
1.75082703e-05 3.00000000e+01 -2.54282351e+01 -1.54188260e+01 -1.79943990e+02 -1.79944473e+02 
1.78752553e-05 3.00000000e+01 -2.54303765e+01 -1.54237539e+01 -1.79942848e+02 -1.79943342e+02 
1.82499324e-05 3.00000000e+01 -2.54324286e+01 -1.54284768e+01 -1.79941682e+02 -1.79942186e+02 
1.86324631e-05 3.00000000e+01 -2.54343896e+01 -1.54329985e+01 -1.79940491e+02 -1.79941005e+02 
1.90230119e-05 3.00000000e+01 -2.54362841e+01 -1.54373471e+01 -1.79939274e+02 -1.79939799e+02 
1.94217468e-05 3.00000000e+01 -2.54380728e+01 -1.54414890e+01 -1.79938031e+02 -1.79938567e+02 
1.98288395e-05 3.00000000e+01 -2.54398172e+01 -1.54454909e+01 -1.79936761e+02 -1.79937308e+02 
2.02444651e-05 3.00000000e+01 -2.54414830e+01 -1.54493186e+01 -1.79935465e+02 -1.79936023e+02 
2.06688025e-05 3.00000000e+01 -2.54430717e+01 -1.54529828e+01 -1.79934140e+02 -1.79934710e+02 
2.11020343e-05 3.00000000e+01 -2.54445993e+01 -1.54564993e+01 -1.79932787e+02 -1.79933368e+02 
2.15443469e-05 3.00000000e+01 -2.54460569e+01 -1.54598636e+01 -1.79931405e+02 -1.79931998e+02 
2.19959307e-05 3.00000000e+01 -2.54474644e+01 -1.54631002e+01 -1.79929993e+02 -1.79930599e+02 
2.24569800e-05 3.00000000e+01 -2.54488116e+01 -1.54662009e+01 -1.79928551e+02 -1.79929170e+02 
2.29276931e-05 3.00000000e+01 -2.54500973e+01 -1.54691675e+01 -1.79927079e+02 -1.79927710e+02 
2.34082728e-05 3.00000000e+01 -2.54513265e+01 -1.54720094e+01 -1.79925575e+02 -1.79926219e+02 
2.38989257e-05 3.00000000e+01 -2.54525129e+01 -1.54747416e+01 -1.79924039e+02 -1.79924697e+02 
2.43998630e-05 3.00000000e+01 -2.54536498e+01 -1.54773621e+01 -1.79922470e+02 -1.79923142e+02 
2.49113003e-05 3.00000000e+01 -2.54547320e+01 -1.54798663e+01 -1.79920868e+02 -1.79921554e+02 
2.54334576e-05 3.00000000e+01 -2.54557736e+01 -1.54822713e+01 -1.79919232e+02 -1.79919932e+02 
2.59665597e-05 3.00000000e+01 -2.54567791e+01 -1.54845847e+01 -1.79917561e+02 -1.79918275e+02 
2.65108360e-05 3.00000000e+01 -2.54577476e+01 -1.54868075e+01 -1.79915854e+02 -1.79916584e+02 
2.70665207e-05 3.00000000e+01 -2.54586589e+01 -1.54889212e+01 -1.79914112e+02 -1.79914857e+02 
2.76338529e-05 3.00000000e+01 -2.54595443e+01 -1.54909604e+01 -1.79912332e+02 -1.79913092e+02 
2.82130768e-05 3.00000000e+01 -2.54603822e+01 -1.54929049e+01 -1.79910515e+02 -1.79911291e+02 
2.88044415e-05 3.00000000e+01 -2.54611966e+01 -1.54947799e+01 -1.79908659e+02 -1.79909451e+02 
2.94082017e-05 3.00000000e+01 -2.54619740e+01 -1.54965753e+01 -1.79906764e+02 -1.79907573e+02 
3.00246171e-05 3.00000000e+01 -2.54627204e+01 -1.54982976e+01 -1.79904828e+02 -1.79905654e+02 
3.06539530e-05 3.00000000e+01 -2.54634352e+01 -1.54999485e+01 -1.79902852e+02 -1.79903695e+02 
3.12964801e-05 3.00000000e+01 -2.54641172e+01 -1.55015282e+01 -1.79900834e+02 -1.79901695e+02 
3.19524751e-05 3.00000000e+01 -2.54647779e+01 -1.55030501e+01 -1.79898773e+02 -1.79899652e+02 
3.26222201e-05 3.00000000e+01 -2.54654105e+01 -1.55045087e+01 -1.79896669e+02 -1.79897566e+02 
3.33060034e-05 3.00000000e+01 -2.54660123e+01 -1.55059028e+01 -1.79894520e+02 -1.79895436e+02 
3.40041193e-05 3.00000000e+01 -2.54665946e+01 -1.55072452e+01 -1.79892326e+02 -1.79893261e+02 
3.47168682e-05 3.00000000e+01 -2.54671491e+01 -1.55085283e+01 -1.79890085e+02 -1.79891039e+02 
3.54445567e-05 3.00000000e+01 -2.54676823e+01 -1.55097607e+01 -1.79887797e+02 -1.79888772e+02 
3.61874981e-05 3.00000000e+01 -2.54681925e+01 -1.55109415e+01 -1.79885461e+02 -1.79886456e+02 
3.69460121e-05 3.00000000e+01 -2.54686853e+01 -1.55120775e+01 -1.79883076e+02 -1.79884091e+02 
3.77204249e-05 3.00000000e+01 -2.54691558e+01 -1.55131647e+01 -1.79880640e+02 -1.79881676e+02 
3.85110700e-05 3.00000000e+01 -2.54696058e+01 -1.55142068e+01 -1.79878153e+02 -1.79879211e+02 
3.93182876e-05 3.00000000e+01 -2.54700435e+01 -1.55152122e+01 -1.79875613e+02 -1.79876694e+02 
4.01424249e-05 3.00000000e+01 -2.54704580e+01 -1.55161710e+01 -1.79873020e+02 -1.79874123e+02 
4.09838367e-05 3.00000000e+01 -2.54708541e+01 -1.55170894e+01 -1.79870372e+02 -1.79871498e+02 
4.18428851e-05 3.00000000e+01 -2.54712376e+01 -1.55179737e+01 -1.79867669e+02 -1.79868818e+02 
4.27199397e-05 3.00000000e+01 -2.54716046e+01 -1.55188215e+01 -1.79864908e+02 -1.79866082e+02 
4.36153779e-05 3.00000000e+01 -2.54719558e+01 -1.55196335e+01 -1.79862089e+02 -1.79863288e+02 
4.45295851e-05 3.00000000e+01 -2.54722952e+01 -1.55204153e+01 -1.79859212e+02 -1.79860435e+02 
4.54629547e-05 3.00000000e+01 -2.54726164e+01 -1.55211608e+01 -1.79856273e+02 -1.79857522e+02 
4.64158883e-05 3.00000000e+01 -2.54729286e+01 -1.55218797e+01 -1.79853272e+02 -1.79854548e+02 
4.73887961e-05 3.00000000e+01 -2.54732259e+01 -1.55225672e+01 -1.79850209e+02 -1.79851511e+02 
4.83820966e-05 3.00000000e+01 -2.54735128e+01 -1.55232286e+01 -1.79847081e+02 -1.79848410e+02 
4.93962174e-05 3.00000000e+01 -2.54737863e+01 -1.55238612e+01 -1.79843887e+02 -1.79845244e+02 
5.04315949e-05 3.00000000e+01 -2.54740515e+01 -1.55244711e+01 -1.79840626e+02 -1.79842011e+02 
5.14886745e-05 3.00000000e+01 -2.54743057e+01 -1.55250556e+01 -1.79837296e+02 -1.79838711e+02 
5.25679112e-05 3.00000000e+01 -2.54745457e+01 -1.55256128e+01 -1.79833897e+02 -1.79835340e+02 
5.36697695e-05 3.00000000e+01 -2.54747800e+01 -1.55261513e+01 -1.79830426e+02 -1.79831900e+02 
5.47947234e-05 3.00000000e+01 -2.54750031e+01 -1.55266661e+01 -1.79826882e+02 -1.79828386e+02 
5.59432571e-05 3.00000000e+01 -2.54752190e+01 -1.55271618e+01 -1.79823263e+02 -1.79824799e+02 
5.71158648e-05 3.00000000e+01 -2.54754254e+01 -1.55276367e+01 -1.79819568e+02 -1.79821137e+02 
5.83130511e-05 3.00000000e+01 -2.54756200e+01 -1.55280889e+01 -1.79815796e+02 -1.79817397e+02 
5.95353313e-05 3.00000000e+01 -2.54758124e+01 -1.55285284e+01 -1.79811945e+02 -1.79813579e+02 
6.07832313e-05 3.00000000e+01 -2.54759936e+01 -1.55289465e+01 -1.79808012e+02 -1.79809681e+02 
6.20572881e-05 3.00000000e+01 -2.54761682e+01 -1.55293485e+01 -1.79803997e+02 -1.79805701e+02 
6.33580499e-05 3.00000000e+01 -2.54763371e+01 -1.55297355e+01 -1.79799898e+02 -1.79801637e+02 
6.46860766e-05 3.00000000e+01 -2.54764977e+01 -1.55301053e+01 -1.79795712e+02 -1.79797488e+02 
6.60419396e-05 3.00000000e+01 -2.54766531e+01 -1.55304615e+01 -1.79791439e+02 -1.79793252e+02 
6.74262224e-05 3.00000000e+01 -2.54768020e+01 -1.55308030e+01 -1.79787076e+02 -1.79788927e+02 
6.88395207e-05 3.00000000e+01 -2.54769442e+01 -1.55311299e+01 -1.79782621e+02 -1.79784511e+02 
7.02824426e-05 3.00000000e+01 -2.54770819e+01 -1.55314448e+01 -1.79778072e+02 -1.79780002e+02 
7.17556092e-05 3.00000000e+01 -2.54772135e+01 -1.55317463e+01 -1.79773428e+02 -1.79775398e+02 
7.32596543e-05 3.00000000e+01 -2.54773405e+01 -1.55320364e+01 -1.79768687e+02 -1.79770698e+02 
7.47952252e-05 3.00000000e+01 -2.54774628e+01 -1.55323152e+01 -1.79763846e+02 -1.79765900e+02 
7.63629826e-05 3.00000000e+01 -2.54775798e+01 -1.55325823e+01 -1.79758904e+02 -1.79761000e+02 
7.79636013e-05 3.00000000e+01 -2.54776922e+01 -1.55328386e+01 -1.79753857e+02 -1.79755998e+02 
7.95977700e-05 3.00000000e+01 -2.54777998e+01 -1.55330844e+01 -1.79748705e+02 -1.79750890e+02 
8.12661920e-05 3.00000000e+01 -2.54779055e+01 -1.55333226e+01 -1.79743445e+02 -1.79745676e+02 
8.29695852e-05 3.00000000e+01 -2.54780051e+01 -1.55335494e+01 -1.79738074e+02 -1.79740352e+02 
